title,rating,reviewCount,category,attributes,address,phoneNumber,monday,tuesday,wednesday,thursday,friday,saturday,sunday,imgUrl,latitude,longitude
Forza Wine Bar & Restaurant,4.2,1671,Restaurant,Dine-in;Takeout;Delivery;,Лондонска 12a Skopje 1000,+389 2 307 1200,8AM–12AM,8AM–12AM,8AM–12AM,8AM–1AM,8AM–1AM,8AM–1AM,8AM–12AM,https://lh5.googleusercontent.com/p/AF1QipPoB7uWFLRWyFRmQBk-ero7rCPi96UvXpy5UJlX=w408-h272-k-no,41.9996875,21.3906875
Caffe Bar 8,4.5,23,Restaurant,Delivery;,Bitpazarska 58 Skopje 1000,+389 70 383 188,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,5PM–12AM,https://lh5.googleusercontent.com/p/AF1QipMCanOvarEB9xFdYzsbp5yLeU7rezeBL0KMMPN1=w408-h306-k-no,41.9998125,21.4374375
Kolektiv,4.4,762,Restaurant,Dine-in;Takeaway;,11th October Square Macedonia Skopje 1000,+389 2 314 4345,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,https://lh5.googleusercontent.com/p/AF1QipNMTAZ0QUs9lgo_c3KdtBlpxIXJJmAx6x38me8=w845-h240-k-no,41.9958125,21.4319375
Tribeca Restaurant & Bar,4.5,659,Restaurant,Dine-in;Takeaway;Delivery;,Public Enterprise Parks and Greenery Boulevard Ilinden 1000 Skopje 1000,+389 70 303 413,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,https://lh5.googleusercontent.com/p/AF1QipPDSPDUyaAQWK7UzsCFMQHBdmQSCgNDyr74sNhh=w408-h544-k-no,42.0074375,21.4114375
Restaurant „Distrikt“,4.5,772,Restaurant,Dine-in;Takeaway;Delivery;,Plostad Makedonija 7 Skopje 1000,+389 71 238 522,7AM–12AM,7AM–12AM,7AM–12AM,7AM–12AM,7AM–1AM,7:30AM–1AM,7AM–12AM,https://lh5.googleusercontent.com/p/AF1QipP-rrzrIWwiwLxzvRlYeU67wyVZFgh1babYsdc1=w408-h272-k-no,41.9961875,21.4304375
Three Kitchen & Bar,4.3,418,Restaurant,Dine-in;Takeaway;,50-та Дивизија 25 Skopje 1000,+389 70 282 788,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,9AM–1AM,9AM–1AM,Closed,https://lh5.googleusercontent.com/p/AF1QipMlocjiMEUx8I1wwiQWpOjaTCT8tEzgfY85QZIh=w408-h306-k-no,41.9906875,21.4253125
Brick Eat Restaurant & Bar,4.2,362,Restaurant,Dine-in;Takeaway;No-contact delivery;,Kej 13. Noemvri Skopje 1000,+389 76 220 858,9AM–1AM,9AM–1AM,9AM–1AM,9AM–1AM,9AM–1AM,9AM–1AM,9AM–1AM,https://lh5.googleusercontent.com/p/AF1QipOVzznqR8EUKsKOjJd1bdgGyT2Mv2Ptv6xWvsAR=w408-h543-k-no,42.0064375,21.4268125
Skara Bar,4.5,809,Restaurant,Dine-in;Takeaway;,Varsavska 70 Skopje 1000,+389 75 727 110,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,9AM–1AM,9AM–1AM,12–8PM,https://lh5.googleusercontent.com/p/AF1QipO9iEnLKiQvbNm4H6agoFtOURdPuSCAHG09Wze0=w408-h544-k-no,42.0016875,21.3924375
1Sh Lounge Bar,4.4,218,Restaurant,Dine-in;Takeaway;Delivery;,MK Lazo trpovski bb Skopje 1000,+389 78 297 297,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,https://lh5.googleusercontent.com/p/AF1QipNCFrRdVjPzt0WmTbttv64Qgmv4l90GyWJ-jjju=w408-h308-k-no,42.0243125,21.4356875
Meze,4.3,885,Restaurant,Dine-in;Takeaway;,Бул. Кузман Јосифовски Питу бб Skopje 1000,+389 2 612 1214,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,9AM–1AM,9AM–1AM,9AM–12AM,https://lh5.googleusercontent.com/p/AF1QipNYuYyawGeTpUZG_WG6269kyOsDBUUJyv5Ip5L_=w408-h544-k-no,41.9898125,21.4493125
Amigos,4.5,1391,Restaurant,Dine-in;Takeaway;Delivery;Mexican,Macedonia 11 Skopje 1000,+389 71 230 315,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,9AM–1AM,9AM–1AM,10AM–12AM,https://lh5.googleusercontent.com/p/AF1QipPsDi2vX098HFN2f10M-RrKzfjVpO7It61aNONF=w408-h331-k-no,41.9933125,21.4300625
Madison Garden,4.1,30,Restaurant,Dine-in;Takeaway;Delivery;,Boulevard Saint Clement of Ohrid 29 Skopje 1000,+389 76 873 853,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,Closed,https://lh5.googleusercontent.com/p/AF1QipM8xgg5Q_DR-Z5JPo-dmh98DmnywqPadgUD4PE1=w408-h544-k-no,41.9939375,21.4258125
Skybar - Russia Hotel,4.7,46,Restaurant,Dine-in;,AVNOJ Blvd 22 Skopje 1000,+389 2 240 0030,Closed,8PM–3AM,8PM–3AM,8PM–3AM,8PM–3AM,8PM–3AM,8PM–3AM,https://lh5.googleusercontent.com/p/AF1QipOZK9S90DAQyv6WwN3WGzevnBqGkrlM5eLwK-XS=w408-h725-k-no,41.9930625,21.4654375
EQUILIBRIUM Restaurant & Coffee Bar,4.5,1980,Restaurant,Dine-in;Takeaway;Delivery;Modern European,Metodija Shatorov-Sharlo 11 Skopje 1000,+389 2 609 0555,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–1AM,8AM–1AM,8AM–12AM,https://lh5.googleusercontent.com/p/AF1QipNVG7XmYaCHuSfobxQOgb2mNmcwC1hPcfKfKRYr=w408-h272-k-no,41.9865625,21.4541875
La Terrazza Restaurant,4.4,1457,Restaurant,Dine-in;Takeaway;Italian,Plostad Makedonija Skopje 1000,+389 2 311 3380,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,9AM–1AM,9AM–1AM,10AM–12AM,https://lh5.googleusercontent.com/p/AF1QipM0Qg_83I80ZGc52p1vHzcrr90mIxFFJHPlV1RD=w408-h306-k-no,41.9951875,21.4316875
Distrikt,4.5,772,Restaurant,Dine-in;Takeaway;Delivery;,Plostad Makedonija 7 Skopje 1000,+389 71 238 522,7AM–12AM,7AM–12AM,7AM–12AM,7AM–12AM,7AM–1AM,7:30AM–1AM,7AM–12AM,https://lh5.googleusercontent.com/p/AF1QipP-rrzrIWwiwLxzvRlYeU67wyVZFgh1babYsdc1=w408-h272-k-no,41.9961875,21.4304375
Taverna Toscana,4.7,72,Restaurant,Dine-in;Takeaway;,Митрополит Теодосиј Гoлоганов 72 Скопје 1000 Mitropolit Teodosij Gologanov 72 Skopje 1000,+389 72 305 802,2PM–12AM,2PM–12AM,2PM–12AM,2PM–12AM,2PM–1AM,2PM–1AM,2PM–12AM,https://lh5.googleusercontent.com/p/AF1QipMLYZGS-no2A65TgOgv154EJu4huN85KbpTP5SL=w408-h306-k-no,41.9960625,21.4090625
Old City House,4.5,1715,Restaurant,Dine-in;Takeaway;Eastern European,Boulevard Phillip the Second of Macedon 14 Skopje 1000,+389 2 313 1376,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,12PM–12AM,Closed,https://lh5.googleusercontent.com/p/AF1QipNggdkfclL5-VoFLMjMp637O4CZfH9Sk6I3Clm0=w408-h306-k-no,41.9969375,21.4383125
