title,rating,reviewCount,category,attributes,address,phoneNumber,monday,tuesday,wednesday,thursday,friday,saturday,sunday,imgUrl,latitude,longitude
Piazza Liberta,4.5,486,Bar,Dine-in;Takeout;,Dimitrie Cupovski 24 Skopje 1000,+389 2 322 4807,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,Closed,https://lh5.googleusercontent.com/p/AF1QipO2NUkLfgrqy2dwU52b37KHxz14XXXhBhOGTB05=w408-h271-k-no,41.9955625,21.4261875
Casa,4.4,368,Bar,Curbside pickup;Delivery;,309 6 Skopje 1000,,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–1AM,9AM–1AM,9AM–12AM,https://lh5.googleusercontent.com/p/AF1QipN5cNsrVue8bW1PolB7DthpVL9w7ZlHkFHpYpYC=w425-h240-k-no,42.0009375,21.4220625
Chillin' Bar,4.7,248,Bar,Delivery;,MK Orce Nikolov 145 Skopje 1000,+389 2 312 3005,8AM–1AM,8AM–1AM,8AM–1AM,8AM–1AM,8AM–1AM,9AM–1AM,9AM–1AM,https://lh5.googleusercontent.com/p/AF1QipNw21GpBjTQ4HLpazgBcPkB2NYnTYO3ozbKKXvr=w426-h240-k-no,42.0033125,21.4166875
Pogon,4.7,133,Bar,Dine-in;Takeaway;,MK Jurij Gagarin 51/1 Skopje 1000,+389 70 423 023,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–1AM,8AM–1AM,8AM–12AM,https://lh5.googleusercontent.com/p/AF1QipPHjWQpqcQ409Wurc5bZ7YgmCiSEuyYOG0WAlEJ=w408-h272-k-no,41.9964375,21.3980625
Van Gogh Bar,4.6,569,Bar,Takeaway;Dine-in;Delivery;,MK Mihail Cokov 4 Skopje 1000,+389 2 312 1876,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–1AM,9AM–1AM,8AM–12AM,https://lh5.googleusercontent.com/p/AF1QipMzMYZMiFAMlnRFM786ndEwn0TGOrR910Z3xSc9=w427-h240-k-no,42.0021875,21.4216875
Kasha Bar,4.7,399,Bar,Dine-in;Kerbside pickup;Delivery;,Karposh Skopje 1000,+389 2 307 4060,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,9AM–1AM,9AM–1AM,9AM–6PM,https://lh5.googleusercontent.com/p/AF1QipORcIxCAEUWOjZheahFb7QE07ESRRKyFUihZrgL=w408-h544-k-no,42.00375,21.39875
Rock Bar Old School,4.6,288,Bar,Dine-in;Kerbside pickup;Delivery;,ul. 31 br 17 Skopje 1000,+389 77 539 955,10AM–12AM,10AM–12AM,10AM–12AM,10AM–12AM,10AM–1AM,10AM–1AM,4PM–12AM,https://lh5.googleusercontent.com/p/AF1QipOOwx0qgp0l-c-6mL5JZjFdyQq-n95v7USZ6lKE=w426-h240-k-no,41.9931875,21.4388125
Speakeasy Bar,4.7,243,Bar,Kerbside pickup;No-contact delivery;Dine-in;Cocktail,MK Naum Naumovski Borche Skopje 1000,+389 78 417 996,4PM–12AM,4PM–12AM,4PM–12AM,4PM–12AM,4PM–1AM,5PM–1AM,4PM–12AM,https://lh5.googleusercontent.com/p/AF1QipNlhVBsytXeRE27r6xUpbRHpIKoX8Vef12mQT4u=w408-h906-k-no,42.0023125,21.4236875
Shot Bar Bezisten,4.6,5,Bar,;,Pokriena Charshija 37b Skopje 1000,,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,9AM–1AM,9AM–1AM,9AM–12AM,https://lh5.googleusercontent.com/p/AF1QipPqmcLziF1s8aRymrTiXh9p_R9YOSJfi-TZDf6B=w408-h240-k-no-pi-10-ya235-ro-0-fo100,42.0014375,21.4366875
Mr. Jack,4.5,568,Bar,Delivery;,Maksim Gorki 8 Skopje 1000,+389 2 323 1999,8AM–1AM,8AM–1AM,8AM–1AM,8AM–1AM,8AM–1AM,8AM–1AM,8AM–1AM,https://lh5.googleusercontent.com/p/AF1QipPmKKeKsq026UUosXRcuZGLSauZrE_hlMKv3Ds=w408-h240-k-no-pi-20-ya180-ro0-fo100,41.9964375,21.4269375
Wine bar Kaldrma,4.7,34,Bar,Dine-in;Delivery;,Arhiepiskop Angelarij 7 Skopje 1000 MK Skopje 1000,+389 78 336 137,12PM–1AM,12PM–1AM,12PM–2AM,12PM–1AM,12PM–4AM,12PM–5AM,12PM–1AM,https://lh5.googleusercontent.com/p/AF1QipOBEh9w8NZNV5JrJme5MRXwBtt33YBP8cdkaRtz=w408-h725-k-no,42.0003125,21.4361875
Heart Bar Skopje,4.5,193,Bar,Dine-in;,MK Naum Naumovski Borche 50-1/1 Skopje 1000,+389 70 250 964,8AM–1AM,8AM–1AM,8AM–1AM,8AM–1AM,8AM–1AM,8AM–1AM,8AM–1AM,https://lh5.googleusercontent.com/p/AF1QipP-MXQZfC7Ed29VUri57ywpLGH_D65H0hg-zaho=w408-h408-k-no,41.9988125,21.4241875
All day bar - Skopje,4.5,62,Bar,;,Rruga e Bit Pazarit 15 Skopie 1000,+389 78 228 756,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–1AM,8:30AM–1AM,9AM–12AM,https://lh5.googleusercontent.com/p/AF1QipM3jCxm-EMhse3tRUbMyuTCgwNEpKP4lrjg1oiM=w408-h544-k-no,41.9998125,21.4368125
Центар Бар,4.3,882,Bar,Dine-in;Takeaway;,Dimitrie Cupovski 13 Skopje 1000,+389 2 609 1100,9AM–1AM,9AM–1AM,9AM–1AM,9AM–1AM,9AM–1AM,9AM–1AM,Closed,https://lh5.googleusercontent.com/p/AF1QipPRNk9etAPtc0e19sbaLchjHWoFqfZ6ASSC_L6C=w408-h272-k-no,41.9948125,21.4288125
Konak,4.7,318,Bar,Kerbside pickup;Delivery;,Borka Talevski 53 Skopje 1000,+389 2 609 0879,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,12PM–12AM,5PM–12AM,https://lh5.googleusercontent.com/p/AF1QipM515W6vdqBw4kxSjZfaky8cPw6VRp04wOpss_Z=w426-h240-k-no,41.9970625,21.4150625
Sindikat Cafe Bar,4.6,606,Bar,Takeaway;Dine-in;Delivery;,Орце Николов 97 Скопје 1000,,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–1AM,9AM–1AM,9AM–12AM,https://lh5.googleusercontent.com/p/AF1QipOsYlHLuoVPcVD9Fn_Yh5b7rIQ1wNI0OFsLCMkl=w427-h240-k-no,42.0014375,21.4224375
Amok Bar,4.3,49,Bar,Takeaway;,Bul. Partizanski Odredi 1 - 10/4 Skopje MK 1000,,Closed,10AM–12AM,10AM–12AM,10AM–12AM,10AM–1AM,10AM–1AM,5–10PM,https://lh5.googleusercontent.com/p/AF1QipNl8dVQigtnPhpqFcg9uUjf5tLth05KuxSCDJGP=w408-h544-k-no,41.9971875,21.4273125
N Bar Bar,5,17,Bar,;,Petar Pop Arsov 14a Skopje 1000 Petar Pop Arsov 14a Skopje 1000,+389 70 241 468,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,https://lh5.googleusercontent.com/p/AF1QipP-X1bUVnFS9pJkqJcGwixny1nN6hgpbLeBdFfH=w408-h544-k-no,41.9989375,21.4160625
Drinkers Paradise Bar - Cocktail Bar,4.4,71,Bar,Kerbside pickup;Delivery;Cocktail,Булевар Партизански Одреди 17 (спроти Соборна MK Blvd. Partizanski Odredi 17 Skopje 1000,,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–1AM,8AM–1AM,Closed,https://lh5.googleusercontent.com/p/AF1QipO-xM-QfZOw82XswdB0WxjtY6glJp7f3rVvJ3kq=w408-h306-k-no,41.9976875,21.4256875
Badu Bar,4.7,1000,Bar,Takeaway;Dine-in;Delivery;,Булевар Партизански Одреди локал13 149 Skopje 1000,,8AM–11:45PM,8AM–11:45PM,8AM–11:45PM,8AM–11:45PM,8AM–12:45AM,8AM–12:45AM,8AM–11:45PM,https://lh5.googleusercontent.com/p/AF1QipNaylVmSWfya8bghdTARkpSWgtogq7Yt4Z344K-=w493-h240-k-no,42.0071875,21.3721875
Kozara Bar,5,11,Bar,;,Kozara 32 Skopje 1000 1000,+389 75 449 416,5PM–12AM,5PM–12AM,5PM–12AM,5PM–12AM,5PM–12AM,12PM–12AM,12PM–12AM,https://lh5.googleusercontent.com/p/AF1QipMF-aIv_pNe3nMNwLifVqdCCJzaA6klxDSwdIQQ=w408-h544-k-no,41.9913125,21.4189375
Roosevelt,4.5,484,Bar,Kerbside pickup;Dine-in;Delivery;,Franklin Ruzvelt 51 Skopje 1000,,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–1AM,8AM–1AM,8AM–12AM,https://lh5.googleusercontent.com/p/AF1QipPknKmz6o8Jo689NoW51QROXNUK0oysPHVWMeTp=w408-h306-k-no,42.0019375,21.4134375
Mosh,4.1,434,Bar,Dine-in;Delivery;,MK Debarca 2 Skopje 1000,,8AM–1AM,8AM–1AM,8AM–1AM,8AM–1AM,8AM–1AM,8AM–1AM,Closed,https://lh5.googleusercontent.com/p/AF1QipOrisGRAbRJsGPb4khtGAvlSh-prBTaP_Z-09Sw=w408-h306-k-no,41.9961875,21.4244375
MAKKA Bar,4.8,55,Bar,;,Boulevard Saint Clement of Ohrid 60 Skopje 1000,+389 70 426 789,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–1AM,9AM–1AM,9AM–12AM,https://lh5.googleusercontent.com/p/AF1QipPEVUOTIlZwsfp3a48nNx16-YWkwUBJwrLgIJOm=w408-h306-k-no,41.9956875,21.4246875
Papillon,4.4,164,Bar,Delivery;,Antonie Grubishich 2 Skopje 1000,+389 70 206 222,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,9AM–1AM,9AM–1AM,9AM–12AM,https://lh5.googleusercontent.com/p/AF1QipMjaQKhPEyZl-ynqtH5og0TgFn7oFnkBFOcOHEn=w408-h306-k-no,42.0005625,21.4210625
RADIOBAR,4.5,613,Bar,Kerbside pickup;Delivery;,Pirinska 52 Skopje 1000,,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–1AM,9AM–1AM,10AM–12AM,https://lh5.googleusercontent.com/p/AF1QipNnU721lzBi6ePt4VN_3sVbCJHAnloV4GZnaGaf=w438-h240-k-no,42.0003125,21.4234375
BKW Hybrid Bar,4.4,706,Bar,Dine-in;,MK New Delhi Rd 13 Skopje 1000,+389 71 216 348,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–1AM,8AM–2AM,https://lh5.googleusercontent.com/p/AF1QipNnmHLYkcH-Yv-DrKoNom6YyUuUYwoVqhpkSXYs=w408-h272-k-no,41.9970625,21.4060625
Legend Pub - Skopje,4.8,43,Bar,Delivery;,Borka Talevski 55 Skopje 1000,+389 75 454 554,10AM–12AM,10AM–12AM,10AM–12AM,10AM–12AM,10AM–1AM,10AM–1AM,7PM–12AM,https://lh5.googleusercontent.com/p/AF1QipNxhJo0fchN-EqJnZ4equorMhqV_GXF_OA8155M=w426-h240-k-no,41.9970625,21.4146875
Plat Bar,4.6,54,Bar,Delivery;,Анкарска 23 2 MK 1000,,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–1AM,8AM–1AM,8AM–12AM,https://lh5.googleusercontent.com/p/AF1QipOobdLLLoigSsHvWBYLxkcZ-iLd18D_N-1eL8t3=w408-h306-k-no,41.9973125,21.4089375
BKC Bar,4.9,10,Bar,Dine-in;,MK Blvd. Partizanski Odredi 29 Skopje 1000,,12PM–12AM,12PM–12AM,12PM–12AM,12PM–12AM,12PM–1AM,12PM–1AM,6PM–12AM,https://lh5.googleusercontent.com/p/AF1QipOzrGnEC0-8BBfOf7xSkodUwo2DaXpDhK_0tYqh=w408-h544-k-no,41.9989375,21.4204375
El Cabron Wine Bar,4.8,14,Bar,Dine-in;Kerbside pickup;No-contact delivery;Wine,Franklin Ruzvelt 63A Skopje 1000,+389 71 234 553,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–1AM,8AM–1AM,8AM–12AM,https://lh5.googleusercontent.com/p/AF1QipNwPwgzdMTL0yH8-aXykP5bxgmdkKvFuq8zi_0P=w408-h544-k-no,42.0036875,21.4148125
Lounge bar „Sterna“,4.6,28,Bar,Dine-in;,New Delhi Rd 7 Skopje 1000 MK 1000,,8AM–9PM,8AM–9PM,8AM–9PM,8AM–9PM,8AM–9PM,8AM–9PM,Closed,https://lh5.googleusercontent.com/p/AF1QipP2Mgt8mioO1-qkiHOM4v4vSprNG_GUOaa7MUf7=w408-h544-k-no,41.9980625,21.4064375
Rakija Bar Stara Kaldrma,3.6,308,Bar,;,Arhiepiskop Angelarij Skopje 1000,+389 79 218 900,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–1AM,9AM–1AM,9AM–12AM,https://lh5.googleusercontent.com/p/AF1QipNGrtef5KeHg3KmDYJY5c8Ai2B4BdNMc4XWPh1o=w408-h544-k-no,42.0005625,21.4368125
SOMA Lounge Bar,4,21,Bar,Dine-in;,Mitropolit Teodosij Gologanov 96 Skopje 1000,+389 70 222 125,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–1AM,8AM–1AM,8AM–12AM,https://lh5.googleusercontent.com/p/AF1QipND-aExkGDG-r5kUvv0I4tORysbC4UIpgsVPCYT=w408-h306-k-no,41.9979375,21.3981875
Rock bar „Woodstock“,4.7,489,Bar,Delivery;,Franklin Ruzvelt 5 Skopje 1000,+389 70 315 495,10AM–12AM,10AM–12AM,10AM–12AM,10AM–12AM,10AM–12AM,10AM–12AM,12PM–12AM,https://lh5.googleusercontent.com/p/AF1QipMO1qhYGpBNkrMbk0YN1poQUDyPuRr8xN51v15A=w426-h240-k-no,41.9955625,21.4113125
