title,rating,reviewCount,category,attributes,address,phoneNumber,monday,tuesday,wednesday,thursday,friday,saturday,sunday,imgUrl,latitude,longitude
The Gallery Caffe,4.5,1103,Cafe,Dine-in;Curbside pickup;Delivery;,MK MK MK Franklin Ruzvelt 63a lok. 2 Skopje 1000,+389 72 535 353,7:30AM–12AM,7:30AM–12AM,7:30AM–12AM,7:30AM–12AM,7:30AM–1AM,8AM–1AM,8AM–12AM,https://lh5.googleusercontent.com/p/AF1QipMAa215dA5VFd480on_J3wx9aeBpNKdWwCpHCG0=w408-h408-k-no,42.0036875,21.4149375
Gorki Cafe,4.4,986,Cafe,Dine-in;Takeout;Delivery;,MK Luj Paster 1000 Skopje 1000,+389 71 273 380,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,9AM–1AM,9AM–1AM,12PM.–12AM,https://lh5.googleusercontent.com/p/AF1QipNyizwz3RTzePSRGjz1A2lP3Qpyyzc4jh1OeY-s=w408-h306-k-no,41.9930625,21.4304375
Drip Coffee,4.8,186,Cafe,Dine-in;Takeout;Delivery;,Elisie Popovski Marko 10 Skopje 1000,+389 70 393 710,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Closed,https://lh5.googleusercontent.com/p/AF1QipPNEh6ZDZ30Iizf692VxsVKJNX0pvfd-AE_1fUk=w426-h240-k-no,41.9905625,21.4148125
Cafe Bocata,4.2,550,Cafe,Dine-in;Delivery;,MK Nikola Vapcarov 1 Skopje 1000,+389 2 311 0715,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–1AM,8AM–1AM,8AM–12AM,https://lh5.googleusercontent.com/p/AF1QipNrDwKhHmVQl14LeC3Gy8EdOjNnLIG3XMd5-mG5=w408-h272-k-no,41.9956875,21.4310625
Broz Cafe,4.2,774,Cafe,Dine-in;Takeout;Delivery;,MK Blvd. Partizanski Odredi Skopje 1000,+389 77 590 419,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–1AM,8AM–1AM,9AM–1AM,https://lh5.googleusercontent.com/p/AF1QipO41_GcST4doBIktVomNsuqTyiZVWAtY3VgWeDm=w408-h544-k-no,42.0001875,21.4168125
Izlet,4.3,702,Cafe,Takeout;Delivery;,Nikola Trimpare 15 Skopje 1000,+389 76 909 909,9AM–1AM,9AM–1AM,9AM–1AM,9AM–1AM,9AM–1AM,9AM–1AM,9AM–1AM,https://lh5.googleusercontent.com/p/AF1QipPKqj7MpGDVuRP7QrSpeYGfX3aOiO_g9Nr7VxVn=w408-h544-k-no,41.9971875,21.4244375
Espresso bar La Strega,4.6,357,Cafe,Takeout;Delivery;,Boulevard Jane Sandanski 12 Skopje 1000,+389 75 525 461,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,10AM–10PM.,https://lh5.googleusercontent.com/p/AF1QipOSRm6oMIrt8S5WNSjKKmoF8BJAXHhSVJwu6Tcq=w408-h306-k-no,41.9880625,21.4546875
Belier,4.3,504,Cafe,Delivery;,Kosturski Heroi 38 Skopje 1000,+389 70 340 550,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–1AM,8AM–1AM,8AM–12AM,https://lh5.googleusercontent.com/p/AF1QipMvsV6orVhp_SO4dHWDR9iQ7-mxXktwVxMxirVO=w408-h257-k-no,41.9985625,21.4169375
Capri Coffee Bar,4.6,566,Cafe,Takeout;Delivery;,MK Атинска 25 Skopje 1000,+389 71 365 535,8:30AM–1AM,8:30AM–1AM,8:30AM–1AM,8:30AM–1AM,8:30AM–1AM,8:30AM–1AM,9AM–1AM,https://lh5.googleusercontent.com/p/AF1QipN09WYU__8XHzuPQ5sdujQlFtf7o_KWzqSbOcHg=w408-h288-k-no,41.9969375,21.4095625
Central Perk,4.7,143,Cafe,Dine-in;Takeout;,Skopje 1000,,8AM–11PM.,8AM–11PM.,8AM–11PM.,8AM–11PM.,8AM–11PM.,8AM–11PM.,8AM–11PM.,https://lh5.googleusercontent.com/p/AF1QipPkvXnw4OM5dw7FBuPElG236Bw7A9LNtagH4C-T=w408-h544-k-no,41.9976875,21.3980625
