,title,rating,reviewCount,category,attributes,address,phoneNumber,monday,tuesday,wednesday,thursday,friday,saturday,sunday
0,Like Cafe,4.4,308.0,Cafe,·  Delivery,"XCQX+GPW, Skopje 1000, North Macedonia",+389 78 393 902,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.
1,Play Cafe,4.2,807.0,Cafe,·  Takeout,"Skopje 1000, North Macedonia",+389 78 212 271,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.
2,Caffe Happy,4.4,187.0,Cafe,·  Delivery,"XFQ3+C5X, Boulevard Jane Sandanski, Skopje 1000, North Macedonia",+389 72 702 001,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.
3,The Gallery Caffe,4.5,1103.0,Cafe,·  Dine-in  ·  Curbside pickup  ·  Delivery,"MK MK MK, Franklin Ruzvelt 63a, lok. 2, Skopje 1000, North Macedonia",+389 72 535 353,7:30a.m.–12a.m.,7:30a.m.–12a.m.,7:30a.m.–12a.m.,7:30a.m.–12a.m.,7:30a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.
4,Knox,4.1,120.0,Cafe,·  Delivery,"Skopje 1000 706, Skopje 1000, North Macedonia",+389 75 304 009,8:30a.m.–12a.m.,8:30a.m.–12a.m.,8:30a.m.–12a.m.,8:30a.m.–12a.m.,8:30a.m.–12a.m.,8:30a.m.–12a.m.,8:30a.m.–12a.m.
5,Cafe 9,4.3,254.0,Cafe,·  Delivery,"Vasil Gjorgov, Skopje 1000, North Macedonia",,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–5p.m.
6,Broz Cafe,4.2,774.0,Cafe,·  Dine-in  ·  Takeout  ·  Delivery,"MK, Blvd. Partizanski Odredi, Skopje 1000, North Macedonia",+389 77 590 419,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,9a.m.–1a.m.
7,Point Café,4.4,400.0,Cafe,·  Delivery,"Hristo Tatarchev 47Ц, Skopje 1000, North Macedonia",+389 78 445 405,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.
8,Mon Frère,4.6,78.0,Cafe,·  Dine-in  ·  Takeout,"MK, Mutavdziska, Skopje 1000, North Macedonia",+389 71 648 055,9a.m.–10p.m.,9a.m.–10p.m.,9a.m.–10p.m.,9a.m.–10p.m.,9a.m.–10p.m.,9a.m.–10p.m.,12–10p.m.
9,Ottoman Caffe,4.8,82.0,Coffee shop,·  Dine-in  ·  Delivery,"MK, Kujundjiska, Skopje 1000, North Macedonia",+389 70 849 067,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,Closed
10,Бифе Тафталиџе,4.7,88.0,Cafe,·  Delivery,"Blvd. Partizanski Odredi 70, Skopje 1000, North Macedonia",+389 78 201 302,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–12:30a.m.,9a.m.–12a.m.
11,La CAFE,4.3,100.0,Cafe,·  Delivery,"Kraishka 20, Skopje 1000, North Macedonia",,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.
