,placeUrl,title,rating,reviewCount,category,attributes,address,website,phoneNumber,monday,tuesday,wednesday,thursday,friday,saturday,sunday,currentStatus,info,imgUrl,isClaimed,latitude,longitude,timestamp
1,https://www.google.com/maps/place/The+Gallery+Caffe/data=!4m7!3m6!1s0x135414456ae49a4d:0x2e97574b9126f89e!8m2!3d42.003721!4d21.4149119!16s%2Fg%2F1hdz182jj!19sChIJTZrkakUUVBMRnvgmkUtXly4,The Gallery Caffe,4.5,1103,Cafe,·  Dine-in  ·  Curbside pickup  ·  Delivery,"MK MK MK, Franklin Ruzvelt 63a, lok. 2, Skopje 1000, North Macedonia",https://www.thegallery.com.mk/,+389 72 535 353,7:30a.m.–12a.m.,7:30a.m.–12a.m.,7:30a.m.–12a.m.,7:30a.m.–12a.m.,7:30a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.,Open now,LGBTQ+ friendly,https://lh5.googleusercontent.com/p/AF1QipMAa215dA5VFd480on_J3wx9aeBpNKdWwCpHCG0=w408-h408-k-no,TRUE,42.0036875,21.4149375,2022-11-10T11:42:44.251Z
2,https://www.google.com/maps/place/Gorki+Cafe/data=!4m7!3m6!1s0x405d09dac7224499:0x4fa39b31f1ff6876!8m2!3d41.9930963!4d21.4303759!16s%2Fg%2F11b6v52fqs!19sChIJmUQix9oJXUARdmj_8TGbo08,Gorki Cafe,4.4,986,Cafe,·  Dine-in  ·  Takeout  ·  Delivery,"MK, Luj Paster 1000, Skopje 1000, North Macedonia",https://www.facebook.com/cafegorki/,+389 71 273 380,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–1a.m.,9a.m.–1a.m.,12p.m.–12a.m.,Open now,,https://lh5.googleusercontent.com/p/AF1QipNyizwz3RTzePSRGjz1A2lP3Qpyyzc4jh1OeY-s=w408-h306-k-no,TRUE,41.9930625,21.4304375,2022-11-10T11:42:50.779Z
3,https://www.google.com/maps/place/Drip+Coffee/data=!4m7!3m6!1s0x13541439f034760f:0xfe29e578e9d0642c!8m2!3d41.9906229!4d21.4148044!16s%2Fg%2F11f57b8g9v!19sChIJD3Y08DkUVBMRLGTQ6XjlKf4,Drip Coffee,4.8,186,Coffee shop,·  Dine-in  ·  Takeout  ·  Delivery,"Elisie Popovski Marko 10, Skopje 1000, North Macedonia",,+389 70 393 710,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Closed,Open now,,https://lh5.googleusercontent.com/p/AF1QipPNEh6ZDZ30Iizf692VxsVKJNX0pvfd-AE_1fUk=w426-h240-k-no,TRUE,41.9905625,21.4148125,2022-11-10T11:42:55.332Z
4,https://www.google.com/maps/place/Cafe+%E2%80%9EBocata%E2%80%9C/data=!4m7!3m6!1s0x135415b463ece8df:0xfc698787d2cacdfe!8m2!3d41.9956545!4d21.4310455!16s%2Fg%2F11bvt409pg!19sChIJ3-jsY7QVVBMR_s3K0oeHafw,Cafe „Bocata“,4.2,550,Cafe,·  Dine-in  ·  Delivery,"MK, Nikola Vapcarov 1, Skopje 1000, North Macedonia",,+389 2 311 0715,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.,Open now,,https://lh5.googleusercontent.com/p/AF1QipNrDwKhHmVQl14LeC3Gy8EdOjNnLIG3XMd5-mG5=w408-h272-k-no,TRUE,41.9956875,21.4310625,2022-11-10T11:42:59.653Z
5,https://www.google.com/maps/place/Broz+Cafe/data=!4m7!3m6!1s0x1354144f40b3c925:0x1346932b570f3ab3!8m2!3d42.0001558!4d21.4168236!16s%2Fg%2F1tj0y7vy!19sChIJJcmzQE8UVBMRszoPVyuTRhM,Broz Cafe,4.2,774,Cafe,·  Dine-in  ·  Takeout  ·  Delivery,"MK, Blvd. Partizanski Odredi, Skopje 1000, North Macedonia",https://www.facebook.com/BrozLoungeBar/,+389 77 590 419,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,9a.m.–1a.m.,Open now,,https://lh5.googleusercontent.com/p/AF1QipO41_GcST4doBIktVomNsuqTyiZVWAtY3VgWeDm=w408-h544-k-no,TRUE,42.0001875,21.4168125,2022-11-10T11:43:04.496Z
6,https://www.google.com/maps/place/Izlet/data=!4m7!3m6!1s0x1354144b9bef2e6f:0x57403c647a5ad5bc!8m2!3d41.9972233!4d21.4244218!16s%2Fg%2F11fy_qxgl7!19sChIJby7vm0sUVBMRvNVaemQ8QFc,Izlet,4.3,702,Cafe,·  Takeout  ·  Delivery,"Nikola Trimpare 15, Skopje 1000, North Macedonia",https://m.facebook.com/pages/%D0%98%D0%B7%D0%BB%D0%B5%D1%82/195120673854320,+389 76 909 909,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,Open now,,https://lh5.googleusercontent.com/p/AF1QipPKqj7MpGDVuRP7QrSpeYGfX3aOiO_g9Nr7VxVn=w408-h544-k-no,TRUE,41.9971875,21.4244375,2022-11-10T11:43:09.619Z
7,https://www.google.com/maps/place/Espresso+bar+La+Strega/data=!4m7!3m6!1s0x13541594def4aee3:0x5916433c7bdeb205!8m2!3d41.988092!4d21.4546705!16s%2Fg%2F11cs5x4312!19sChIJ46703pQVVBMRBbLeezxDFlk,Espresso bar La Strega,4.6,357,Coffee shop,·  Takeout  ·  Delivery,"Boulevard Jane Sandanski 12, Skopje 1000, North Macedonia",https://www.facebook.com/espressobarlastrega/,+389 75 525 461,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,10a.m.–10p.m.,Open now,,https://lh5.googleusercontent.com/p/AF1QipOSRm6oMIrt8S5WNSjKKmoF8BJAXHhSVJwu6Tcq=w408-h306-k-no,TRUE,41.9880625,21.4546875,2022-11-10T11:43:15.259Z
8,https://www.google.com/maps/place/Belier/data=!4m7!3m6!1s0x13541448b9098f0b:0x90cbb2b7a6679dd0!8m2!3d41.998586!4d21.4169555!16s%2Fg%2F11cfh6y0q!19sChIJC48JuUgUVBMR0J1npreyy5A,Belier,4.3,504,Cafe,·  Delivery,"Kosturski Heroi 38, Skopje 1000, North Macedonia",https://www.facebook.com/pages/Belier-Caffe/202348796524833,+389 70 340 550,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.,Open now,,https://lh5.googleusercontent.com/p/AF1QipMvsV6orVhp_SO4dHWDR9iQ7-mxXktwVxMxirVO=w408-h257-k-no,TRUE,41.9985625,21.4169375,2022-11-10T11:43:19.992Z
9,https://www.google.com/maps/place/Capri+Coffee+Bar/data=!4m7!3m6!1s0x13541440b4803cdb:0x739efa50e36e34cb!8m2!3d41.9968994!4d21.4095201!16s%2Fg%2F11f5dmhnpm!19sChIJ2zyAtEAUVBMRyzRu41D6nnM,Capri Coffee Bar,4.6,566,Cafe,·  Takeout  ·  Delivery,"MK, Атинска 25, Skopje 1000, North Macedonia",https://capri-coffee-bar.business.site/,+389 71 365 535,8:30a.m.–1a.m.,8:30a.m.–1a.m.,8:30a.m.–1a.m.,8:30a.m.–1a.m.,8:30a.m.–1a.m.,8:30a.m.–1a.m.,9a.m.–1a.m.,Open now,LGBTQ+ friendly,https://lh5.googleusercontent.com/p/AF1QipN09WYU__8XHzuPQ5sdujQlFtf7o_KWzqSbOcHg=w408-h288-k-no,TRUE,41.9969375,21.4095625,2022-11-10T11:43:25.067Z
10,https://www.google.com/maps/place/Central+Perk/data=!4m7!3m6!1s0x13541538461b6f83:0x25b42e0495ce5df9!8m2!3d41.997695!4d21.3981103!16s%2Fg%2F11rgwd3ky_!19sChIJg28bRjgVVBMR-V3OlQQutCU,Central Perk,4.7,143,Coffee shop,·  Dine-in  ·  Takeout,"Skopje, 1000, North Macedonia",https://www.instagram.com/central_perk_skopje/,,8a.m.–11p.m.,8a.m.–11p.m.,8a.m.–11p.m.,8a.m.–11p.m.,8a.m.–11p.m.,8a.m.–11p.m.,8a.m.–11p.m.,Open now,,https://lh5.googleusercontent.com/p/AF1QipPkvXnw4OM5dw7FBuPElG236Bw7A9LNtagH4C-T=w408-h544-k-no,FALSE,41.9976875,21.3980625,2022-11-10T11:43:30.473Z
